number_of_dice,die_type,kth,target_value,probability
3,10,1,1,0.001
3,10,1,2,0.007
3,10,1,3,0.019
3,10,1,4,0.037
3,10,1,5,0.061
3,10,1,6,0.091
3,10,1,7,0.127
3,10,1,8,0.169
3,10,1,9,0.217
3,10,1,10,0.271
4,10,1,1,0.0001
4,10,1,2,0.0015
4,10,1,3,0.0065
4,10,1,4,0.0175
4,10,1,5,0.0369
4,10,1,6,0.0671
4,10,1,7,0.1105
4,10,1,8,0.1695
4,10,1,9,0.2465
4,10,1,10,0.3439
5,10,1,1,1e-05
5,10,1,2,0.00031
5,10,1,3,0.00211
5,10,1,4,0.00781
5,10,1,5,0.02101
5,10,1,6,0.04651
5,10,1,7,0.09031
5,10,1,8,0.15961
5,10,1,9,0.26281
5,10,1,10,0.40951
3,12,1,1,0.0005787037037037037
3,12,1,2,0.004050925925925926
3,12,1,3,0.01099537037037037
3,12,1,4,0.02141203703703704
3,12,1,5,0.03530092592592592
3,12,1,6,0.052662037037037035
3,12,1,7,0.07349537037037036
3,12,1,8,0.09780092592592593
3,12,1,9,0.1255787037037037
3,12,1,10,0.1568287037037037
3,12,1,11,0.19155092592592593
3,12,1,12,0.22974537037037038
4,12,1,1,4.8225308641975306e-05
4,12,1,2,0.0007233796296296296
4,12,1,3,0.003134645061728395
4,12,1,4,0.008439429012345678
4,12,1,5,0.017795138888888888
4,12,1,6,0.032359182098765434
4,12,1,7,0.05328896604938271
4,12,1,8,0.08174189814814815
4,12,1,9,0.11887538580246913
4,12,1,10,0.1658468364197531
4,12,1,11,0.2238136574074074
4,12,1,12,0.2939332561728395
5,12,1,1,4.018775720164609e-06
5,12,1,2,0.00012458204732510288
5,12,1,3,0.0008479616769547326
5,12,1,4,0.0031386638374485596
5,12,1,5,0.008443447788065843
5,12,1,6,0.018691325874485597
5,12,1,7,0.03629356352880658
5,12,1,8,0.06414367926954732
5,12,1,9,0.1056174447016461
5,12,1,10,0.1645728845164609
5,12,1,11,0.24535027649176955
5,12,1,12,0.35277215149176955
3,20,1,1,0.000125
3,20,1,2,0.000875
3,20,1,3,0.002375
3,20,1,4,0.004625
3,20,1,5,0.007625
3,20,1,6,0.011375
3,20,1,7,0.015875
3,20,1,8,0.021125
3,20,1,9,0.027125
3,20,1,10,0.033875
3,20,1,11,0.041375
3,20,1,12,0.049625
3,20,1,13,0.058625
3,20,1,14,0.068375
3,20,1,15,0.078875
3,20,1,16,0.090125
3,20,1,17,0.102125
3,20,1,18,0.114875
3,20,1,19,0.128375
3,20,1,20,0.142625
4,20,1,1,6.25e-06
4,20,1,2,9.375e-05
4,20,1,3,0.00040625
4,20,1,4,0.00109375
4,20,1,5,0.00230625
4,20,1,6,0.00419375
4,20,1,7,0.00690625
4,20,1,8,0.01059375
4,20,1,9,0.01540625
4,20,1,10,0.02149375
4,20,1,11,0.02900625
4,20,1,12,0.03809375
4,20,1,13,0.04890625
4,20,1,14,0.06159375
4,20,1,15,0.07630625
4,20,1,16,0.09319375
4,20,1,17,0.11240625
4,20,1,18,0.13409375
4,20,1,19,0.15840625
4,20,1,20,0.18549375
5,20,1,1,3.125e-07
5,20,1,2,9.6875e-06
5,20,1,3,6.59375e-05
5,20,1,4,0.0002440625
5,20,1,5,0.0006565625
5,20,1,6,0.0014534375
5,20,1,7,0.0028221875
5,20,1,8,0.0049878125
5,20,1,9,0.0082128125
5,20,1,10,0.0127971875
5,20,1,11,0.0190784375
5,20,1,12,0.0274315625
5,20,1,13,0.0382690625
5,20,1,14,0.0520409375
5,20,1,15,0.0692346875
5,20,1,16,0.0903753125
5,20,1,17,0.1160253125
5,20,1,18,0.1467846875
5,20,1,19,0.1832909375
5,20,1,20,0.2262190625
3,10,2,1,0.028
3,10,2,2,0.076
3,10,2,3,0.112
3,10,2,4,0.136
3,10,2,5,0.148
3,10,2,6,0.148
3,10,2,7,0.136
3,10,2,8,0.112
3,10,2,9,0.076
3,10,2,10,0.028
4,10,2,1,0.0037
4,10,2,2,0.0235
4,10,2,3,0.0565
4,10,2,4,0.0955
4,10,2,5,0.1333
4,10,2,6,0.1627
4,10,2,7,0.1765
4,10,2,8,0.1675
4,10,2,9,0.1285
4,10,2,10,0.0523
5,10,2,1,0.00046
5,10,2,2,0.00626
5,10,2,3,0.02406
5,10,2,4,0.05626
5,10,2,5,0.10046
5,10,2,6,0.14946
5,10,2,7,0.19126
5,10,2,8,0.20906
5,10,2,9,0.18126
5,10,2,10,0.08146
3,12,2,1,0.019675925925925927
3,12,2,2,0.05439814814814815
3,12,2,3,0.08217592592592593
3,12,2,4,0.10300925925925926
3,12,2,5,0.11689814814814815
3,12,2,6,0.12384259259259259
3,12,2,7,0.12384259259259259
3,12,2,8,0.11689814814814815
3,12,2,9,0.10300925925925926
3,12,2,10,0.08217592592592593
3,12,2,11,0.05439814814814815
3,12,2,12,0.019675925925925927
4,12,2,1,0.002170138888888889
4,12,2,2,0.014033564814814815
4,12,2,3,0.034577546296296294
4,12,2,4,0.06032986111111111
4,12,2,5,0.08781828703703703
4,12,2,6,0.11357060185185185
4,12,2,7,0.13411458333333334
4,12,2,8,0.14597800925925927
4,12,2,9,0.1456886574074074
4,12,2,10,0.12977430555555555
4,12,2,11,0.09476273148148148
4,12,2,12,0.037181712962962965
5,12,2,1,0.0002250514403292181
5,12,2,2,0.0031185699588477367
5,12,2,3,0.012281378600823045
5,12,2,4,0.029642489711934155
5,12,2,5,0.05520190329218107
5,12,2,6,0.08703060699588477
5,12,2,7,0.12127057613168725
5,12,2,8,0.15213477366255143
5,12,2,9,0.1719071502057613
5,12,2,10,0.1709426440329218
5,12,2,11,0.13766718106995884
5,12,2,12,0.05857767489711934
3,20,2,1,0.00725
3,20,2,2,0.02075
3,20,2,3,0.03275
3,20,2,4,0.04325
3,20,2,5,0.05225
3,20,2,6,0.05975
3,20,2,7,0.06575
3,20,2,8,0.07025
3,20,2,9,0.07325
3,20,2,10,0.07475
3,20,2,11,0.07475
3,20,2,12,0.07325
3,20,2,13,0.07025
3,20,2,14,0.06575
3,20,2,15,0.05975
3,20,2,16,0.05225
3,20,2,17,0.04325
3,20,2,18,0.03275
3,20,2,19,0.02075
3,20,2,20,0.00725
4,20,2,1,0.00048125
4,20,2,2,0.00321875
4,20,2,3,0.00828125
4,20,2,4,0.01521875
4,20,2,5,0.02358125
4,20,2,6,0.03291875
4,20,2,7,0.04278125
4,20,2,8,0.05271875
4,20,2,9,0.06228125
4,20,2,10,0.07101875
4,20,2,11,0.07848125
4,20,2,12,0.08421875
4,20,2,13,0.08778125
4,20,2,14,0.08871875
4,20,2,15,0.08658125
4,20,2,16,0.08091875
4,20,2,17,0.07128125
4,20,2,18,0.05721875
4,20,2,19,0.03828125
4,20,2,20,0.01401875
5,20,2,1,3e-05
5,20,2,2,0.00043
5,20,2,3,0.0017675
5,20,2,4,0.0044925
5,20,2,5,0.008905
5,20,2,6,0.015155
5,20,2,7,0.0232425
5,20,2,8,0.0330175
5,20,2,9,0.04418
5,20,2,10,0.05628
5,20,2,11,0.0687175
5,20,2,12,0.0807425
5,20,2,13,0.091455
5,20,2,14,0.099805
5,20,2,15,0.1045925
5,20,2,16,0.1044675
5,20,2,17,0.09793
5,20,2,18,0.08333
5,20,2,19,0.0588675
5,20,2,20,0.0225925
3,10,3,1,0.271
3,10,3,2,0.217
3,10,3,3,0.169
3,10,3,4,0.127
3,10,3,5,0.091
3,10,3,6,0.061
3,10,3,7,0.037
3,10,3,8,0.019
3,10,3,9,0.007
3,10,3,10,0.001
4,10,3,1,0.0523
4,10,3,2,0.1285
4,10,3,3,0.1675
4,10,3,4,0.1765
4,10,3,5,0.1627
4,10,3,6,0.1333
4,10,3,7,0.0955
4,10,3,8,0.0565
4,10,3,9,0.0235
4,10,3,10,0.0037
5,10,3,1,0.00856
5,10,3,2,0.04936
5,10,3,3,0.10516
5,10,3,4,0.15436
5,10,3,5,0.18256
5,10,3,6,0.18256
5,10,3,7,0.15436
5,10,3,8,0.10516
5,10,3,9,0.04936
5,10,3,10,0.00856
3,12,3,1,0.22974537037037038
3,12,3,2,0.19155092592592593
3,12,3,3,0.1568287037037037
3,12,3,4,0.1255787037037037
3,12,3,5,0.09780092592592593
3,12,3,6,0.07349537037037036
3,12,3,7,0.052662037037037035
3,12,3,8,0.03530092592592592
3,12,3,9,0.02141203703703704
3,12,3,10,0.01099537037037037
3,12,3,11,0.004050925925925926
3,12,3,12,0.0005787037037037037
4,12,3,1,0.037181712962962965
4,12,3,2,0.09476273148148148
4,12,3,3,0.12977430555555555
4,12,3,4,0.1456886574074074
4,12,3,5,0.14597800925925927
4,12,3,6,0.13411458333333334
4,12,3,7,0.11357060185185185
4,12,3,8,0.08781828703703703
4,12,3,9,0.06032986111111111
4,12,3,10,0.034577546296296294
4,12,3,11,0.014033564814814815
4,12,3,12,0.002170138888888889
5,12,3,1,0.005087770061728395
5,12,3,2,0.030406057098765434
5,12,3,3,0.06802179783950617
5,12,3,4,0.10636091820987655
5,12,3,5,0.13674286265432098
5,12,3,6,0.15338059413580246
5,12,3,7,0.15338059413580246
5,12,3,8,0.13674286265432098
5,12,3,9,0.10636091820987655
5,12,3,10,0.06802179783950617
5,12,3,11,0.030406057098765434
5,12,3,12,0.005087770061728395
3,20,3,1,0.142625
3,20,3,2,0.128375
3,20,3,3,0.114875
3,20,3,4,0.102125
3,20,3,5,0.090125
3,20,3,6,0.078875
3,20,3,7,0.068375
3,20,3,8,0.058625
3,20,3,9,0.049625
3,20,3,10,0.041375
3,20,3,11,0.033875
3,20,3,12,0.027125
3,20,3,13,0.021125
3,20,3,14,0.015875
3,20,3,15,0.011375
3,20,3,16,0.007625
3,20,3,17,0.004625
3,20,3,18,0.002375
3,20,3,19,0.000875
3,20,3,20,0.000125
4,20,3,1,0.01401875
4,20,3,2,0.03828125
4,20,3,3,0.05721875
4,20,3,4,0.07128125
4,20,3,5,0.08091875
4,20,3,6,0.08658125
4,20,3,7,0.08871875
4,20,3,8,0.08778125
4,20,3,9,0.08421875
4,20,3,10,0.07848125
4,20,3,11,0.07101875
4,20,3,12,0.06228125
4,20,3,13,0.05271875
4,20,3,14,0.04278125
4,20,3,15,0.03291875
4,20,3,16,0.02358125
4,20,3,17,0.01521875
4,20,3,18,0.00828125
4,20,3,19,0.00321875
4,20,3,20,0.00048125
5,20,3,1,0.001158125
5,20,3,2,0.007401875
5,20,3,3,0.018051875
5,20,3,4,0.031308125
5,20,3,5,0.045595625
5,20,3,6,0.059564375
5,20,3,7,0.072089375
5,20,3,8,0.082270625
5,20,3,9,0.089433125
5,20,3,10,0.093126875
5,20,3,11,0.093126875
5,20,3,12,0.089433125
5,20,3,13,0.082270625
5,20,3,14,0.072089375
5,20,3,15,0.059564375
5,20,3,16,0.045595625
5,20,3,17,0.031308125
5,20,3,18,0.018051875
5,20,3,19,0.007401875
5,20,3,20,0.001158125
3,10,4,1,0.0
3,10,4,2,0.0
3,10,4,3,0.0
3,10,4,4,0.0
3,10,4,5,0.0
3,10,4,6,0.0
3,10,4,7,0.0
3,10,4,8,0.0
3,10,4,9,0.0
3,10,4,10,0.0
4,10,4,1,0.3439
4,10,4,2,0.2465
4,10,4,3,0.1695
4,10,4,4,0.1105
4,10,4,5,0.0671
4,10,4,6,0.0369
4,10,4,7,0.0175
4,10,4,8,0.0065
4,10,4,9,0.0015
4,10,4,10,0.0001
5,10,4,1,0.08146
5,10,4,2,0.18126
5,10,4,3,0.20906
5,10,4,4,0.19126
5,10,4,5,0.14946
5,10,4,6,0.10046
5,10,4,7,0.05626
5,10,4,8,0.02406
5,10,4,9,0.00626
5,10,4,10,0.00046
3,12,4,1,0.0
3,12,4,2,0.0
3,12,4,3,0.0
3,12,4,4,0.0
3,12,4,5,0.0
3,12,4,6,0.0
3,12,4,7,0.0
3,12,4,8,0.0
3,12,4,9,0.0
3,12,4,10,0.0
3,12,4,11,0.0
3,12,4,12,0.0
4,12,4,1,0.2939332561728395
4,12,4,2,0.2238136574074074
4,12,4,3,0.1658468364197531
4,12,4,4,0.11887538580246913
4,12,4,5,0.08174189814814815
4,12,4,6,0.05328896604938271
4,12,4,7,0.032359182098765434
4,12,4,8,0.017795138888888888
4,12,4,9,0.008439429012345678
4,12,4,10,0.003134645061728395
4,12,4,11,0.0007233796296296296
4,12,4,12,4.8225308641975306e-05
5,12,4,1,0.05857767489711934
5,12,4,2,0.13766718106995884
5,12,4,3,0.1709426440329218
5,12,4,4,0.1719071502057613
5,12,4,5,0.15213477366255143
5,12,4,6,0.12127057613168725
5,12,4,7,0.08703060699588477
5,12,4,8,0.05520190329218107
5,12,4,9,0.029642489711934155
5,12,4,10,0.012281378600823045
5,12,4,11,0.0031185699588477367
5,12,4,12,0.0002250514403292181
3,20,4,1,0.0
3,20,4,2,0.0
3,20,4,3,0.0
3,20,4,4,0.0
3,20,4,5,0.0
3,20,4,6,0.0
3,20,4,7,0.0
3,20,4,8,0.0
3,20,4,9,0.0
3,20,4,10,0.0
3,20,4,11,0.0
3,20,4,12,0.0
3,20,4,13,0.0
3,20,4,14,0.0
3,20,4,15,0.0
3,20,4,16,0.0
3,20,4,17,0.0
3,20,4,18,0.0
3,20,4,19,0.0
3,20,4,20,0.0
4,20,4,1,0.18549375
4,20,4,2,0.15840625
4,20,4,3,0.13409375
4,20,4,4,0.11240625
4,20,4,5,0.09319375
4,20,4,6,0.07630625
4,20,4,7,0.06159375
4,20,4,8,0.04890625
4,20,4,9,0.03809375
4,20,4,10,0.02900625
4,20,4,11,0.02149375
4,20,4,12,0.01540625
4,20,4,13,0.01059375
4,20,4,14,0.00690625
4,20,4,15,0.00419375
4,20,4,16,0.00230625
4,20,4,17,0.00109375
4,20,4,18,0.00040625
4,20,4,19,9.375e-05
4,20,4,20,6.25e-06
5,20,4,1,0.0225925
5,20,4,2,0.0588675
5,20,4,3,0.08333
5,20,4,4,0.09793
5,20,4,5,0.1044675
5,20,4,6,0.1045925
5,20,4,7,0.099805
5,20,4,8,0.091455
5,20,4,9,0.0807425
5,20,4,10,0.0687175
5,20,4,11,0.05628
5,20,4,12,0.04418
5,20,4,13,0.0330175
5,20,4,14,0.0232425
5,20,4,15,0.015155
5,20,4,16,0.008905
5,20,4,17,0.0044925
5,20,4,18,0.0017675
5,20,4,19,0.00043
5,20,4,20,3e-05
